path,status,source_group,file_type,size_bytes,sha256,canonical_path,normalized_companion,extraction_method,extraction_confidence,blocker
docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-06.jpg,normalized-derivative,data/jam_exports,.jpg,215830,ddda61a0fe3856b410f19492c0792c4a53339dd82970f04866beb5c189df6928,docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-06.jpg,,not-applicable,not-applicable,
docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-07.jpg,normalized-derivative,data/jam_exports,.jpg,130007,0a53fb648609f5d6ea464014e45119bc92b4dbcc6e8cfa9974011811b50313c0,docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-07.jpg,,not-applicable,not-applicable,
docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-08.jpg,normalized-derivative,data/jam_exports,.jpg,98568,3902c36d89c4c7bbc127583f2a1667ded314123cfe8006eb9d063110c42d4566,docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/contact_sheets/whiteboard-images-08.jpg,,not-applicable,not-applicable,
docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/figma_inspection.md,normalized-derivative,data/jam_exports,.md,3512,fc279db4cddb92859523d4db92a59a8fdd3bfe22270669f7f80d79395ba4e191,docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/figma_inspection.md,,native-markdown,complete,
docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/image_index.csv,normalized-derivative,data/jam_exports,.csv,19408,a6d47c6561021678e9b8477f7f365609c0e0331a8660e7ffc29899949fd12cea,docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/image_index.csv,,not-applicable,not-applicable,
docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-001.png,normalized-derivative,data/jam_exports,.png,22498,2370be8087b4b4e286b59cee39e58818cbc8632cf5c7b27750a59997f50e96d9,docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-001.png,,not-applicable,not-applicable,
docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-002.png,normalized-derivative,data/jam_exports,.png,6614,d0d00fa667507beb75ea27c8a51a614ed22c096b8a628d4478e18bcb41c50446,docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-002.png,,not-applicable,not-applicable,
docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-003.png,normalized-derivative,data/jam_exports,.png,55859,cc9f54748567cc482a4b8cc9528a9d502e0767dc85fba7fbbdedfcb3283cf806,docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-003.png,,not-applicable,not-applicable,
docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-004.png,normalized-derivative,data/jam_exports,.png,6419,e3c9c586233499ba05eb1f71f63cf4dce8373250a69d0d145cb4bd68ceb28a5d,docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-004.png,,not-applicable,not-applicable,
docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-005.png,normalized-derivative,data/jam_exports,.png,53898,038b63707f366a5c805596b620441fb77dcbb69759ef85c4e68a53106de0b9c9,docs/reference/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-005.png,,not-applicable,not-applicable,
